Adress,Datum,Slutpris,Utgångspris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift/månad,Driftskostnad/år,Hiss,Områdeskod
"Frejgatan 4, 4tr",2 augusti 2022,3460000,2750000,Lägenhet,Bostadsrätt,1.0,30.0,Nej,4.0,1902,1534.0,4320.0,Ja,0
Bergsgatan 45,4 augusti 2022,2700000,2495000,Lägenhet,Bostadsrätt,1.0,20.0,,1.0,1899,1107.0,,Ja,8
"Rålambsvägen 48, 3tr",4 augusti 2022,2550000,2195000,Lägenhet,Bostadsrätt,1.0,27.0,,3.0,1931,1623.0,9000.0,Nej,2
Dalagatan 70,5 augusti 2022,2150000,2150000,Lägenhet,Bostadsrätt,1.0,10.0,Nej,,1895,697.0,,,7
"Bergsgatan 31, vån 2",5 augusti 2022,2790000,2495000,Lägenhet,Bostadsrätt,1.0,23.0,Nej,2.0,1927,1242.0,1860.0,Ja,8
Vitalisvägen 6,5 augusti 2022,2700000,2450000,Lägenhet,Bostadsrätt,1.0,30.5,,0.5,1931,1778.0,,Nej,2
Rödabergsbrinken 16,6 augusti 2022,2600000,2495000,Lägenhet,Bostadsrätt,1.0,22.0,,2.5,0,1019.0,,Nej,6
Creutzgatan 9,6 augusti 2022,3050000,2495000,Lägenhet,Bostadsrätt,1.0,39.0,Nej,2.0,1926,2093.0,4800.0,Nej,5
"Kungsgatan 86A, 3tr gårdshus",9 augusti 2022,3610000,3295000,Lägenhet,Bostadsrätt,1.0,34.0,Ja,3.0,1890,1680.0,,Nej,8
Surbrunnsgatan 19,10 augusti 2022,2700000,2750000,Lägenhet,Bostadsrätt,1.0,24.0,Nej,1.5,1916,1337.0,,Ja,0
"Dalagatan 86D, 2 tr",10 augusti 2022,3450000,3495000,Lägenhet,Bostadsrätt,1.0,38.0,Nej,2.0,0,2236.0,,Ja,7
Valhallavägen 42,10 augusti 2022,3020000,2795000,Lägenhet,Bostadsrätt,1.0,33.0,Nej,1.0,1907,1836.0,5880.0,Ja,0
"Bergsgatan 14, BV",10 augusti 2022,2750000,2750000,Lägenhet,Bostadsrätt,1.0,29.0,Nej,,1907,1268.0,3032.0,,8
"Valhallavägen 22C, 4 tr",11 augusti 2022,3700000,3500000,Lägenhet,Bostadsrätt,1.0,37.0,Nej,4.0,1911,2111.0,6300.0,Ja,0
Hedemoratäppan 2,11 augusti 2022,3250000,2995000,Lägenhet,Bostadsrätt,1.0,32.0,,,1925,1898.0,4440.0,,6
"Torbjörn Klockares gata 13, 3tr",11 augusti 2022,2790000,2495000,Lägenhet,Bostadsrätt,1.0,23.0,,3.0,1925,1450.0,,Ja,6
Luntmakargatan 10,12 augusti 2022,2850000,2695000,Lägenhet,Bostadsrätt,1.0,24.0,Nej,,1891,2065.0,4320.0,,0
Fridhemsgatan 31,12 augusti 2022,3610000,3295000,Lägenhet,Bostadsrätt,1.0,38.0,,0.5,1903,1879.0,5000.0,Nej,1
David bagares gata 7 / Regeringsgatan 70F,14 augusti 2022,3395000,3495000,Lägenhet,Bostadsrätt,1.0,38.0,Nej,,1982,1712.0,,,0
Hantverkargatan 28,15 augusti 2022,2600000,2600000,Lägenhet,Bostadsrätt,1.0,19.0,Nej,1.0,1883,842.0,6960.0,Ja,8
"Karlbergsvägen 29A, 4 tr",15 augusti 2022,3800000,3795000,Lägenhet,Bostadsrätt,1.0,31.0,,4.0,1898,1308.0,7000.0,,7
"Hagagatan 1, tr 5",15 augusti 2022,3850000,3495000,Lägenhet,Bostadsrätt,1.0,36.0,,5.0,1975,1153.0,,Ja,4
"Frejgatan 36A, 3tr",15 augusti 2022,3475000,3195000,Lägenhet,Bostadsrätt,1.0,28.0,Ja,3.0,1944,1850.0,,Ja,7
"Sankt Eriksplan 5, 5 tr",15 augusti 2022,3725000,3495000,Lägenhet,Bostadsrätt,1.0,32.0,,5.0,1927,1086.0,5000.0,Ja,6
Torsgatan 33,16 augusti 2022,3050000,2795000,Lägenhet,Bostadsrätt,1.0,24.0,Nej,6.0,1928,595.0,4000.0,Ja,6
