Slutpris,Utgångspris,Antal rum,Boarea,Våning,Byggår,Avgift/månad,Driftskostnad/år,Latitudes,Longitudes,Upplåtelseform_Andel i bostadsförening,Upplåtelseform_Andelsboende,Upplåtelseform_Annat,Upplåtelseform_Bostadsrätt,Upplåtelseform_Äganderätt,Balkong_Ja,Balkong_Nej,Hiss_Ja,Hiss_Nej
3460000,2750000,1.0,30.0,4.0,1902,1534.0,4320.0,59.3485784,18.061332,0,0,0,1,0,0,1,1,0
2700000,2495000,1.0,20.0,1.0,1899,1107.0,6880.5,59.3305354,18.0381646,0,0,0,1,0,0,1,1,0
2550000,2195000,1.0,27.0,3.0,1931,1623.0,9000.0,59.3301278,18.0050313,0,0,0,1,0,0,1,0,1
2150000,2150000,1.0,10.0,2.0,1895,697.0,6880.5,59.3442706,18.0433396,0,0,0,1,0,0,1,0,1
2790000,2495000,1.0,23.0,2.0,1927,1242.0,1860.0,59.33026,18.0402453,0,0,0,1,0,0,1,1,0
2700000,2450000,1.0,30.5,0.5,1931,1778.0,6880.5,59.3303526,18.0054905,0,0,0,1,0,0,1,0,1
2600000,2495000,1.0,22.0,2.5,0,1019.0,6880.5,59.344711,18.0374685,0,0,0,1,0,0,1,0,1
3050000,2495000,1.0,39.0,2.0,1926,2093.0,4800.0,59.3325429,18.0148423,0,0,0,1,0,0,1,0,1
3610000,3295000,1.0,34.0,3.0,1890,1680.0,6880.5,59.3315676,18.0476608,0,0,0,1,0,1,0,0,1
2700000,2750000,1.0,24.0,1.5,1916,1337.0,6880.5,59.3463002,18.0614048,0,0,0,1,0,0,1,1,0
3450000,3495000,1.0,38.0,2.0,0,2236.0,6880.5,59.346093,18.0416178,0,0,0,1,0,0,1,1,0
3020000,2795000,1.0,33.0,1.0,1907,1836.0,5880.0,59.3477029,18.0642648,0,0,0,1,0,0,1,1,0
2750000,2750000,1.0,29.0,2.0,1907,1268.0,3032.0,59.3293754,18.0480625,0,0,0,1,0,0,1,0,1
3700000,3500000,1.0,37.0,4.0,1911,2111.0,6300.0,59.348248,18.0630212,0,0,0,1,0,0,1,1,0
3250000,2995000,1.0,32.0,2.0,1925,1898.0,4440.0,59.3446451,18.0372674,0,0,0,1,0,0,1,0,1
2790000,2495000,1.0,23.0,3.0,1925,1450.0,6880.5,59.3451444,18.0337701,0,0,0,1,0,0,1,1,0
2850000,2695000,1.0,24.0,2.0,1891,2065.0,4320.0,59.3366282,18.0641149,0,0,0,1,0,0,1,0,1
3610000,3295000,1.0,38.0,0.5,1903,1879.0,5000.0,59.3341148,18.0302414,0,0,0,1,0,0,1,0,1
3395000,3495000,1.0,38.0,2.0,1982,1712.0,6880.5,59.3372641,18.0690177,0,0,0,1,0,0,1,0,1
2600000,2600000,1.0,19.0,1.0,1883,842.0,6960.0,59.3291579,18.0425404,0,0,0,1,0,0,1,1,0
3800000,3795000,1.0,31.0,4.0,1898,1308.0,7000.0,59.3424876,18.0412822,0,0,0,1,0,0,1,0,1
3850000,3495000,1.0,36.0,5.0,1975,1153.0,6880.5,59.3436596,18.0529843,0,0,0,1,0,0,1,1,0
3475000,3195000,1.0,28.0,3.0,1944,1850.0,6880.5,59.3449781,18.0473324,0,0,0,1,0,1,0,1,0
3725000,3495000,1.0,32.0,5.0,1927,1086.0,5000.0,59.3390769,18.0385155,0,0,0,1,0,0,1,1,0
3050000,2795000,1.0,24.0,6.0,1928,595.0,4000.0,59.3388608,18.0393542,0,0,0,1,0,0,1,1,0
2300000,1995000,1.0,17.0,0.5,1944,1346.0,6880.5,59.3449781,18.0473324,0,0,0,1,0,0,1,1,0
3680000,3190000,1.0,30.0,2.0,1904,1389.0,6880.5,59.3450178,18.0446046,0,0,0,1,0,1,0,1,0
3850000,3700000,1.0,34.0,2.0,1947,1815.0,3500.0,59.3366238,18.0865644,0,0,0,1,0,0,1,1,0
2800000,2495000,1.0,32.0,2.0,1931,1554.0,6880.5,59.3300456,18.0087675,0,0,0,1,0,0,1,1,0
2700000,2495000,1.0,24.0,4.0,1928,1793.0,6880.5,59.3386216,18.0389717,0,0,0,1,0,0,1,1,0
4900000,4995000,1.0,43.0,4.0,1914,1149.0,4808.0,59.340078,18.0348486,0,0,0,1,0,0,1,1,0
3350000,2995000,1.0,31.0,2.0,1929,1838.0,6880.5,59.3446451,18.0372674,0,0,0,1,0,0,1,0,1
