web-scraper-order,web-scraper-start-url,Links,Links-href,Adress,Pages,Datum,Slutpris,Utgångspris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift/mån,Driftskostnad/år
"1693164473-1","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.346302%2C18.05372&amp;size=640x350&amp;zoom=14&amp;signature=VSiQXgzTusa0cIDr8KLgwgCzTic=""/>Såld 2022-03-21<img alt=""profilfoto på mäklare"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover"" src=""https://bilder.hemnet.se/images/broker_profile_small/74/32/7432cf0d90242bcd1cf556a17b7ac4a7.jpg""/>Sveavägen 140LägenhetVasastan, Stockholms kommun<img alt=""Unik Fastighetsförmedling AB"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/1f/dc/1fdc077a6f97e73bc7caf13f303e65aa.jpg""/>72 m²3 rum1 800 kr/månBalkongHissSlutpris 9 000 000 kr+10 %125 000 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-vasastan-stockholms-kommun-sveavagen-140-2513865106023394770","Slutpris
  Sveavägen 140","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970&page=50","21 mars 2022","9 000 000 kr","8 195 000 kr","Lägenhet","Bostadsrätt","3 rum","72 m²","Ja","1 av 6, hiss finns","1927","1 800 kr/mån",""
"1693164483-2","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.34317744006063%2C18.037431275732015&amp;size=640x350&amp;zoom=14&amp;signature=tJyd-3KJAnPoaPTB86d8S2ebFpU=""/>Såld 2022-03-21<img alt=""profilfoto på mäklare"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover"" src=""https://bilder.hemnet.se/images/broker_profile_small/4a/af/4aaf26065c6c15a4adaa15d055fdcf33.png""/>StaffanHempelFalugatan 5LägenhetVasastan, Stockholms kommun<img alt=""Skeppsholmen Sotheby&#x27;s International Realty"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/66/bf/66bf62c5a7c6eb7993b5365b3bf9c531.jpg""/>191+8 m²7 rum7 806 kr/månSlutpris 24 900 000 kr+8 %130 366 kr/m²","https://www.hemnet.se/salda/lagenhet-7rum-vasastan-stockholms-kommun-falugatan-5-3563694948496644610","Slutpris
  Falugatan 5","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970&page=50","21 mars 2022","24 900 000 kr","22 950 000 kr","Lägenhet","Bostadsrätt","7 rum","191 m²","","3 av 4","1925","7 806 kr/mån","11 400 kr/år"
"1693164491-3","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.3441544%2C18.0454178&amp;size=640x350&amp;zoom=14&amp;signature=25q3keNDZeiebMAT9Who1sbiNzo=""/>Såld 2022-03-21Västmannagatan 72, 4 trLägenhetVasastan Odenplan, Stockholms kommun<img alt=""HusmanHagberg Vasastan"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2_2x/b6/56/b656d8b9f26d099a415a7546b5d620a2.png""/>86,5 m²3 rum1 701 kr/månBalkongHissSlutpris 9 000 000 kr+9 %104 046 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-vasastan-odenplan-stockholms-kommun-vastmannagatan-72,-4-tr-6412679163711374879","Slutpris
  Västmannagatan 72, 4 tr","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970&page=50","21 mars 2022","9 000 000 kr","8 250 000 kr","Lägenhet","Bostadsrätt","3 rum","86,5 m²","Ja","4 av 6, hiss finns","1977","1 701 kr/mån",""
"1693164500-4","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.3444337%2C18.0431987&amp;size=640x350&amp;zoom=14&amp;signature=kyBlgHOnwSachSX6umx8FBN5Iq4=""/>Såld 2022-03-21<img alt=""profilfoto på mäklare"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover"" src=""https://bilder.hemnet.se/images/broker_profile_small/5f/81/5f815be608edf3c907e5fb3c07ba86a3.jpg""/>JoakimAnderssonDalagatan 70, 5trLägenhetVasastan, Stockholms kommun<img alt=""SkandiaMäklarna Stockholm Vasastan"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/63/7c/637c17c40a250ef71084ac34e860d757.jpg""/>36+5 m²2 rum1 768 kr/månBalkongUteplatsSlutpris 6 300 000 kr+34 %175 000 kr/m²","https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-dalagatan-70,-5tr-6003294726879074710","Slutpris
  Dalagatan 70, 5tr","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970&page=50","21 mars 2022","6 300 000 kr","4 695 000 kr","Lägenhet","Bostadsrätt","2 rum","36 m²","Ja","5 av 5, hiss finns ej","","1 768 kr/mån","5 520 kr/år"
"1693164508-5","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.3411446%2C18.0371952&amp;size=640x350&amp;zoom=14&amp;signature=piet-IhzPgN3i8yeCqMhEzjpTYo=""/>Såld 2022-03-21Tomtebogatan 1ALägenhetVasastan/Birkastan, Stockholms kommun<img alt=""Erik Olsson Fastighetsförmedling"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/6f/47/6f472408571111fc3d41d0dff42955b9.png""/>52 m²2 rum1 664 kr/månHissSlutpris 6 000 000 kr+12 %115 385 kr/m²","https://www.hemnet.se/salda/lagenhet-2rum-vasastan-birkastan-stockholms-kommun-tomtebogatan-1a-6266039026797094535","Slutpris
  Tomtebogatan 1A","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970&page=50","21 mars 2022","6 000 000 kr","5 350 000 kr","Lägenhet","Bostadsrätt","2 rum","52 m²","Nej","1 av 5, hiss finns","1927","1 664 kr/mån","5 880 kr/år"
"1693164519-6","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.3422928%2C18.03038&amp;size=640x350&amp;zoom=14&amp;signature=AbAFJd_BjQu18AFIFHk7vs40kas=""/>Såld 2022-03-21Karlbergsvägen 71A, 4trLägenhetVasastan - Birkastan, Stockholms kommun60 m²3 rum2 919 kr/månBalkongHissSlutpris 8 000 000 kr+15 %133 333 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-vasastan-birkastan-stockholms-kommun-karlbergsvagen-71a,-4tr-8251430691295873782","Slutpris
  Karlbergsvägen 71A, 4tr","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970&page=50","21 mars 2022","8 000 000 kr","6 950 000 kr","Lägenhet","Bostadsrätt","3 rum","60 m²","Ja","4 av 5, hiss finns","1914","2 919 kr/mån",""
"1693164529-7","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.34111538679488%2C18.030280670735404&amp;size=640x350&amp;zoom=14&amp;signature=fa7MV1d4XzsAeo2Mx7ICW7e0h_w=""/>Såld 2022-03-22<img alt=""profilfoto på mäklare"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover"" src=""https://bilder.hemnet.se/images/broker_profile_small/51/bd/51bd514d17a3482d337284d55a231add.jpg""/>BodilMelanderNorrbackagatan 11, 2trLägenhetVasastan, Stockholms kommun<img alt=""Vision Mäkleri AB"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_1/82/25/8225c7d0596e9ce0b5fdccc669703063.jpg""/>63 m²2 rum3 068 kr/månBalkongHissSlutpris 7 920 000 kr+22 %125 714 kr/m²","https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-norrbackagatan-11,-2tr-1448408543847411846","Slutpris
  Norrbackagatan 11, 2tr","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970&page=50","22 mars 2022","7 920 000 kr","6 500 000 kr","Lägenhet","Bostadsrätt","2 rum","63 m²","Ja","2 av 5, hiss finns","1904","3 068 kr/mån","7 900 kr/år"
"1693164537-8","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.34022220465465%2C18.03737830355355&amp;size=640x350&amp;zoom=14&amp;signature=5XdWbVScqdmmK2sTL3oFx-O0cNg=""/>Såld 2022-03-22Sankt Eriksgatan 82, 3trLägenhetVasastan, Stockholms kommun<img alt=""Vision Mäkleri AB"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/82/25/8225c7d0596e9ce0b5fdccc669703063.jpg""/>112 m²4 rum1 739 kr/månBalkongHissSlutpris 17 250 000 kr+20 %154 018 kr/m²","https://www.hemnet.se/salda/lagenhet-4rum-vasastan-stockholms-kommun-sankt-eriksgatan-82,-3tr-1553501649180358257","Slutpris
  Sankt Eriksgatan 82, 3tr","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970&page=50","22 mars 2022","17 250 000 kr","14 395 000 kr","Lägenhet","Bostadsrätt","4 rum","112 m²","Ja","3 av 6, hiss finns","1927","1 739 kr/mån",""
"1693164545-9","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.34454%2C18.0346451&amp;size=640x350&amp;zoom=14&amp;signature=ZN3W0yJWodBrMpXsv-2M6pgXO4U=""/>Såld 2022-03-22<img alt=""profilfoto på mäklare"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover"" src=""https://bilder.hemnet.se/images/broker_profile_small/c4/c9/c4c96ac5c9e86ed50a63591ac0195852.jpg""/>Torsgatan 69, 4 trLägenhetVasastan, Stockholms kommun<img alt=""Bjurfors Vasastan"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/a7/97/a797d617963cb956b85e8a6bb4fb6079.png""/>38 m²2 rum1 790 kr/månHissSlutpris 4 000 000 kr+6 %105 263 kr/m²","https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-torsgatan-69,-4-tr-1630806018102428004","Slutpris
  Torsgatan 69, 4 tr","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970&page=50","22 mars 2022","4 000 000 kr","3 790 000 kr","Lägenhet","Bostadsrätt","2 rum","38 m²","Nej","4 av 5, hiss finns","1926","1 790 kr/mån","2 580 kr/år"
"1693164554-10","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970","Maps Data: Google © 2023<img alt=""Karta för bostaden"" loading=""lazy"" decoding=""async"" data-nimg=""fixed"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover;object-position:center"" class=""StaticMapImage_container__1NkSK"" src=""https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAvR8lQbyQytYdggFUVGZekvRFX2fJGGZ0&amp;language=sv&amp;map_id=f2115f301367545e&amp;markers=icon%3Ahttps%3A%2F%2Fwww.hemnet.se%2Fimages%2Flisting_icons%2Fmap_markers%2Fstatic_map_markers%2Fapartment.png%7Cscale%3A1%7C59.342531398328134%2C18.050849465623568&amp;size=640x350&amp;zoom=14&amp;signature=V5SaxisQWxoEqHpwggMePPtEbb4=""/>Såld 2022-03-22<img alt=""profilfoto på mäklare"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:cover"" src=""https://bilder.hemnet.se/images/broker_profile_small/c0/56/c0569f0e029768af3abcf18759a89e9c.png""/>GustavEnhörningOdengatan 71LägenhetVasastan, Stockholms kommun<img alt=""SJÖMAN\FRISK"" loading=""lazy"" decoding=""async"" data-nimg=""fill"" style=""position:absolute;top:0;left:0;bottom:0;right:0;box-sizing:border-box;padding:0;border:none;margin:auto;display:block;width:0;height:0;min-width:100%;max-width:100%;min-height:100%;max-height:100%;object-fit:contain;object-position:top left"" src=""https://bilder.hemnet.se/images/broker_logo_2/99/2f/992f7e0d32a89358704ddc282bd0c468.png""/>70 m²3 rum3 608 kr/månBalkongHissSlutpris 7 900 000 kr+5 %112 857 kr/m²","https://www.hemnet.se/salda/lagenhet-3rum-vasastan-stockholms-kommun-odengatan-71-2261446239877182773","Slutpris
  Odengatan 71","https://www.hemnet.se/salda/bostader?location_ids%5B%5D=925970&page=50","22 mars 2022","7 900 000 kr","7 500 000 kr","Lägenhet","Bostadsrätt","3 rum","70 m²","Ja","3, hiss finns","1929","3 608 kr/mån",""
